time,open,high,low,close,50MA,150MA,200MA,Pivot,Handle Low,Buy Zone Upper,C&H Detected,Qualified Setup,Breakout Wait,Retest Seen,BUY Hold,BUY Retest,Pattern Failed,Breakout Failed,Stop,MA,MA,MA,MA,MA,MA,50MA,150MA,200MA,Pivot,Handle Low,Buy Zone Upper,C&H Detected,Qualified Setup,Breakout Wait,Retest Seen,BUY Hold,BUY Retest,Pattern Failed,Breakout Failed,Stop,Relative Strength Line,Relative Strength Line MA,PlotCandle (開盤價),PlotCandle (最高價,PlotCandle (最低價),PlotCandle (關閉),Shapes,Volume,Volume MA,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
2012-05-18,42.05,45,38,38.2318,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,87.89862513986175,,,,,,0,580587776,,,,,,,,,
2012-05-21,36.53,36.66,33,34.03,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,78.8205864640756,,,,,,0,168309808,,,,,,,,,
2012-05-22,32.61,33.59,30.94,31,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,70.66923000934658,,,,,,0,102053808,,,,,,,,,
2012-05-23,31.37,32.5,31.36,32,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,72.91342290544799,,,,,,0,73721120,,,,,,,,,
2012-05-24,32.95,33.21001,31.77,33.03,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,33.65836,,,,,,,0,0,0,0,0,0,0,0,0,75.13306946908695,,,,,,0,50275872,,,,,,,,,
2012-05-25,32.89999,32.95,31.11,31.91,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,32.394,,,,,,,0,0,0,0,0,0,0,0,0,72.48538631614016,,,,,,0,37189632,,,,,,,,,
2012-05-29,31.48,31.69,28.64999,28.84,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,31.356,,,,,,,0,0,0,0,0,0,0,0,0,65.65388292786572,,,,,,0,78060816,,,,,,,,,
2012-05-30,28.69501,29.55,27.86,28.19,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,30.794,,,,,,,0,0,0,0,0,0,0,0,0,63.470977619669476,,,,,,0,57267872,,,,,,,,,
2012-05-31,28.545,29.67,26.83,29.60001,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,30.314002,,,,,,,0,0,0,0,0,0,0,0,0,67.6149224865227,,,,,,0,111639184,,,,,,,,,
2012-06-01,28.892,29.14999,27.39,27.72,,,,,,,0,0,0,0,0,0,0,0,0,,,,,31.455181,29.252001999999994,,,,,,,0,0,0,0,0,0,0,0,0,63.46492868208772,,,,,,0,41855504,,,,,,,,,
2012-06-04,27.2,27.64999,26.44,26.89999,,,,,,,0,0,0,0,0,0,0,0,0,,,,,30.322000000000003,28.249999999999993,,,,,,,0,0,0,0,0,0,0,0,0,63.14354010829082,,,,,,0,35230288,,,,,,,,,
2012-06-05,26.7,27.75999,25.75,25.869,,,,,,,0,0,0,0,0,0,0,0,0,,,,,29.505899999999997,27.655799999999992,,,,,,,0,0,0,0,0,0,0,0,0,60.71680045064076,,,,,,0,42473264,,,,,,,,,
2012-06-06,26.07001,27.17,25.52,26.81,,,,,,,0,0,0,0,0,0,0,0,0,,,,,29.086899999999996,27.379799999999996,,,,,,,0,0,0,0,0,0,0,0,0,62.56709451575263,,,,,,0,61487024,,,,,,,,,
2012-06-07,27,27.35001,26.14999,26.31,,,,,,,0,0,0,0,0,0,0,0,0,,,,,28.517899999999997,26.721797999999996,,,,,,,0,0,0,0,0,0,0,0,0,60.01688046048678,,,,,,0,26167760,,,,,,,,,
2012-06-08,26.55,27.75999,26.44,27.10001,,,,,,,0,0,0,0,0,0,0,0,0,,,,,27.924901,26.597799999999996,,,,,,,0,0,0,0,0,0,0,0,0,61.82558802728539,,,,,,0,38033424,,24.08056690399431,,,,,,,
2012-06-11,27.17999,28.07001,26.83501,27.005,,,,,,,0,0,0,0,0,0,0,0,0,,,,,27.434400999999998,26.618801999999995,,,,,,,0,0,0,0,0,0,0,0,0,61.112955056349286,,,,,,0,28225888,,23.96637198347905,,,,23.96637198347905,,,
2012-06-12,27.48,27.77,26.96001,27.39999,,,,,,,0,0,0,0,0,0,0,0,0,,,,,27.290399999999995,26.924999999999994,,,,,,,0,0,0,0,0,0,0,0,0,62.79936283834888,,,,,,0,15822414,,25.547121432797923,,,,,,,
2012-06-13,27.66,28.10001,27.10001,27.27,,,,,,,0,0,0,0,0,0,0,0,0,,,,,27.198399999999992,27.016999999999996,,,,,,,0,0,0,0,0,0,0,0,0,61.78163089610173,,,,,,0,17118672,,25.360260051663857,,,,,,,
2012-06-14,27.64999,28.32001,27.38,28.28999,,,,,,,0,0,0,0,0,0,0,0,0,,,,,27.067397999999997,27.412997999999995,,,,,,,0,0,0,0,0,0,0,0,0,64.54579125091261,,,,,,0,16854128,,29.705083702685712,,,,,,,
2012-06-15,28.505,30.10001,28.35001,30.01401,,,,,,,0,0,0,0,0,0,0,0,0,,,,29.37599,27.296799,27.995797999999997,,,,,,,0,0,0,0,0,0,0,0,0,67.7466180121887,,,,,,0,43563744,,36.43978674734187,,,,,,,
2012-06-18,29.955,32.08,29.41,31.41,,,,,,,0,0,0,0,0,0,0,0,0,,,,29.0349,27.7478,28.876797999999997,,,,,,,0,0,0,0,0,0,0,0,0,70.17217241071162,67.35968885938924,,,,,0,42978208,,41.34048217681811,,,,,,,
2012-06-19,31.535,32.17999,30.7,31.911,,,,,,,0,0,0,0,0,0,0,0,0,,,,28.928949999999997,28.351999999999997,29.778999999999996,,,,,,,0,0,0,0,0,0,0,0,0,71.18859590416277,67.70777131800502,,,,,0,30848912,,43.03793682590211,,,,,,,
