time,open,high,low,close,50MA,150MA,200MA,Pivot,Handle Low,Buy Zone Upper,C&H Detected,Qualified Setup,Breakout Wait,Retest Seen,BUY Hold,BUY Retest,Pattern Failed,Breakout Failed,Stop,MA,MA,MA,MA,MA,MA,50MA,150MA,200MA,Pivot,Handle Low,Buy Zone Upper,C&H Detected,Qualified Setup,Breakout Wait,Retest Seen,BUY Hold,BUY Retest,Pattern Failed,Breakout Failed,Stop,Relative Strength Line,Relative Strength Line MA,PlotCandle (開盤價),PlotCandle (最高價,PlotCandle (最低價),PlotCandle (關閉),Shapes,Volume,Volume MA,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
1999-01-22,0.0437502,0.0488294,0.0388023,0.0410169,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.09962328767123287,,,,,,0,2714675359.9999995,,,,,,,,,
1999-01-25,0.0442711,0.0458336,0.0410158,0.0453127,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.11095266856569183,,,,,,0,510477440,,,,,,,,,
1999-01-26,0.0458336,0.046745,0.041146,0.0417971,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.10161534222596799,,,,,,0,343198279.99999994,,,,,,,,,
1999-01-27,0.0419273,0.042969,0.0395835,0.0416669,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.09981609984748185,,,,,,0,244366760,,,,,,,,,
1999-01-28,0.0416669,0.0419273,0.0412762,0.0415367,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,0.04226606,,,,,,,0,0,0,0,0,0,0,0,0,0.10023415568014543,,,,,,0,227518839.99999997,,,,,,,,,
1999-01-29,0.0415367,0.0416669,0.0395835,0.0395835,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,0.04197938,,,,,,,0,0,0,0,0,0,0,0,0,0.09384646388012995,,,,,,0,244030760,,,,,,,,,
1999-02-01,0.0395835,0.0406252,0.0395835,0.0403648,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,0.0409898,,,,,,,0,0,0,0,0,0,0,0,0,0.09463161514175862,,,,,,0,154703200.00000003,,,,,,,,,
1999-02-02,0.0395835,0.0406252,0.0360679,0.0372398,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,0.040078340000000004,,,,,,,0,0,0,0,0,0,0,0,0,0.08775865454859666,,,,,,0,264094640.00000003,,,,,,,,,
1999-02-03,0.0367189,0.0385419,0.0364585,0.038021,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,0.03934916,,,,,,,0,0,0,0,0,0,0,0,0,0.09038344202410478,,,,,,0,75119599.99999999,,,,,,,,,
1999-02-04,0.0385419,0.041146,0.038021,0.0401044,,,,,,,0,0,0,0,0,0,0,0,0,,,,,0.04066438,0.03906269999999999,,,,,,,0,0,0,0,0,0,0,0,0,0.09458064414694162,,,,,,0,181919079.99999997,,,,,,,,,
1999-02-05,0.0407554,0.0416669,0.0397137,0.0412762,,,,,,,0,0,0,0,0,0,0,0,0,,,,,0.04069031,0.03940124,,,,,,,0,0,0,0,0,0,0,0,0,0.09918269269277287,,,,,,0,136847279.99999997,,,,,,,,,
1999-02-08,0.0415367,0.0416669,0.0398439,0.0398439,,,,,,,0,0,0,0,0,0,0,0,0,,,,,0.04014343,0.03929706,,,,,,,0,0,0,0,0,0,0,0,0,0.09644319832176858,,,,,,0,154079200,,,,,,,,,
1999-02-09,0.0406252,0.0408856,0.0377606,0.0382814,,,,,,,0,0,0,0,0,0,0,0,0,,,,,0.03979186,0.03950538,,,,,,,0,0,0,0,0,0,0,0,0,0.09233556043319907,,,,,,0,86975560,,,,,,,,,
1999-02-10,0.0382814,0.0393231,0.0372398,0.0378908,,,,,,,0,0,0,0,0,0,0,0,0,,,,,0.03941425,0.03947934,,,,,,,0,0,0,0,0,0,0,0,0,0.09346983077606198,,,,,,0,148223239.99999994,,,,,,,,,
1999-02-11,0.038021,0.0427085,0.038021,0.041146,,,,,,,0,0,0,0,0,0,0,0,0,,,,,0.039375179999999996,0.03968766,,,,,,,0,0,0,0,0,0,0,0,0,0.10088512933676598,,,,,,0,132239320,,50.26230987105976,,,,,,,
1999-02-12,0.0416669,0.0437502,0.0416669,0.0434898,,,,,,,0,0,0,0,0,0,0,0,0,,,,,0.03976581,0.04013038,,,,,,,0,0,0,0,0,0,0,0,0,0.10403926509521227,,,,,,0,109727440,,54.88934458414878,,,,,,,
1999-02-16,0.0442711,0.046094,0.0393231,0.0437502,,,,,,,0,0,0,0,0,0,0,0,0,,,,,0.04010435,0.040911640000000006,,,,,,,0,0,0,0,0,0,0,0,0,0.10669652800923479,,,,,,0,211006920.00000003,,55.385930161048876,,,,,,,
1999-02-17,0.0427085,0.0432294,0.0406252,0.0414065,,,,,,,0,0,0,0,0,0,0,0,0,,,,,0.040521020000000005,0.04153666,,,,,,,0,0,0,0,0,0,0,0,0,0.1000261702110527,,,,,,0,67727639.99999999,,50.04606130048129,,,,50.04606130048129,,,
1999-02-18,0.0427085,0.0432294,0.0408856,0.0420575,,,,,,,0,0,0,0,0,0,0,0,0,,,,,0.04092467,0.042370000000000005,,,,,,,0,0,0,0,0,0,0,0,0,0.10307958138280923,,,,,,0,70703640,,51.446347145197954,,,,,,,
1999-02-19,0.0416669,0.0442711,0.041146,0.0434898,,,,,,,0,0,0,0,0,0,0,0,0,,,,0.040963795000000004,0.04126321,0.042838760000000004,,,,,,,0,0,0,0,0,0,0,0,0,0.10544856459330146,,,,,,0,75359599.99999999,,54.47032886925562,,,,,,,
1999-02-22,0.0442711,0.0447919,0.0414065,0.0437502,,,,,,,0,0,0,0,0,0,0,0,0,,,,0.04110046,0.041510609999999996,0.04289084,,,,,,,0,0,0,0,0,0,0,0,0,0.1059164454199921,0.09909358761924869,,,,,0,205246960,,55.01883267638269,,,,,,,
